Start Time,Date,Month,Time,Hour,Minute,A124 (HQ),A136 (HQ),A143 (HQ),A168 (HQ),A226 (HQ),A235 (HQ),A236 (HQ),A318 (HQ),A345 (HQ),A346 (HQ),Boardroom (HQ),District Counsel (HQ),B108 (Admin),B124 (Admin),B207 (Admin),B228 (Admin),B232 (Admin),C209,C212,C225,D102,D131,Evergreen (BHA),G111 (BHA),G112 (BHA),Maple (BHA),R-316 Rinc,Computers (BHA)
10/13/15 17:30,10/13/15,10,17:30:00,17,30,14,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 17:45,10/13/15,10,17:45:00,17,45,14,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 18:00,10/13/15,10,18:00:00,18,0,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 18:15,10/13/15,10,18:15:00,18,15,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 18:30,10/13/15,10,18:30:00,18,30,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 18:45,10/13/15,10,18:45:00,18,45,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 19:00,10/13/15,10,19:00:00,19,0,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 19:15,10/13/15,10,19:15:00,19,15,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 19:30,10/13/15,10,19:30:00,19,30,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 19:45,10/13/15,10,19:45:00,19,45,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 20:00,10/13/15,10,20:00:00,20,0,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 20:15,10/13/15,10,20:15:00,20,15,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 20:30,10/13/15,10,20:30:00,20,30,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 20:45,10/13/15,10,20:45:00,20,45,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 21:00,10/13/15,10,21:00:00,21,0,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 21:15,10/13/15,10,21:15:00,21,15,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 21:30,10/13/15,10,21:30:00,21,30,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 21:45,10/13/15,10,21:45:00,21,45,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 22:00,10/13/15,10,22:00:00,22,0,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 22:15,10/13/15,10,22:15:00,22,15,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 22:30,10/13/15,10,22:30:00,22,30,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 22:45,10/13/15,10,22:45:00,22,45,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 23:00,10/13/15,10,23:00:00,23,0,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 23:15,10/13/15,10,23:15:00,23,15,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 23:30,10/13/15,10,23:30:00,23,30,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/13/15 23:45,10/13/15,10,23:45:00,23,45,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/14/15 0:00,10/14/15,10,0:00:00,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
10/14/15 0:15,10/14/15,10,0:15:00,0,15,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
